,rawTime,temp (Â°C),humidity (%RH),syncedTime
0,0,27.02,55.13,02/05/2017 17:19:00
1,1800,23.26,54.39,02/05/2017 17:49:00
2,3600,22.65,56.69,02/05/2017 18:19:00
3,5400,22.54,58.43,02/05/2017 18:49:00
4,7200,22.61,59.54,02/05/2017 19:19:00
5,9000,22.71,60.57,02/05/2017 19:49:00
6,10800,22.9,61.52,02/05/2017 20:19:00
7,12600,23.03,62.32,02/05/2017 20:49:00
8,14400,23.17,63.1,02/05/2017 21:19:00
9,16200,23.26,63.8,02/05/2017 21:49:00
10,18000,23.28,65.16,02/05/2017 22:19:00
11,19800,23.28,65.78,02/05/2017 22:49:00
12,21600,23.21,66.3,02/05/2017 23:19:00
13,23400,23.14,66.81,02/05/2017 23:49:00
14,25200,23.02,67.38,03/05/2017 00:19:00
15,27000,22.87,68.12,03/05/2017 00:49:00
16,28800,22.71,68.89,03/05/2017 01:19:00
17,30600,22.51,69.83,03/05/2017 01:49:00
18,32400,22.25,71.22,03/05/2017 02:19:00
19,34200,22.03,72.12,03/05/2017 02:49:00
20,36000,21.79,72.58,03/05/2017 03:19:00
21,37800,21.53,72.98,03/05/2017 03:49:00
22,39600,21.28,73.41,03/05/2017 04:19:00
23,41400,21.01,74.03,03/05/2017 04:49:00
24,43200,20.73,74.61,03/05/2017 05:19:00
25,45000,20.48,75.23,03/05/2017 05:49:00
26,46800,20.2,75.63,03/05/2017 06:19:00
27,48600,19.95,76.25,03/05/2017 06:49:00
28,50400,19.72,76.63,03/05/2017 07:19:00
